regressor,targets,data_set,mse,rmse,r2
zero baseline,correct,training,0.24999999999999323,0.4999999999999932,2.1094237467877974e-15
zero baseline,correct,test,0.25000000000001993,0.5000000000000199,-2.328692794151266e-14
random draw baseline,correct,training,0.49895418693270893,0.7063668925797053,-0.9959940580997049
random draw baseline,correct,test,0.509429733729359,0.7137434649293533,-1.0376943897782143
mean baseline,correct,training,0.2493523479998396,0.4993519280025257,0.002591830032886655
mean baseline,correct,test,0.2597147800023528,0.5096221933965914,-0.038877450493310206
normal distribution baseline,correct,training,0.49862704984048234,0.7061352914565893,-0.9946732004514136
normal distribution baseline,correct,test,0.5108349438770596,0.7147271814315304,-1.0438742544543609
