regressor,targets,data_set,mse,rmse,r2
linear regression,correct,training,0.13888530815673672,0.3726731921627,0.4420890182519109
linear regression,correct,test,0.31308096489397585,0.559536383887568,-0.25917491548414356
linear regression,shuffled,training,0.15419836550776156,0.3926809971309556,0.38308917329957537
linear regression,shuffled,test,0.3514904708506119,0.5928663178580917,-0.4059182394561279
random forest regression,correct,training,0.00893125458487261,0.09450531511440301,0.9642263811479601
random forest regression,correct,test,0.2295152461590566,0.4790774949411177,0.08351478191664802
random forest regression,shuffled,training,0.010266330037988826,0.10132289986961894,0.958887967409851
random forest regression,shuffled,test,0.28791731381462216,0.5365792707649282,-0.15178284290199973
