regressor,targets,data_set,mse,rmse,r2
linear regression,correct,training,0.20506159710578223,0.4528372744218195,0.17713817989032404
linear regression,correct,test,0.2485759799045065,0.49857394627528073,0.0007685753449908073
linear regression,shuffled,training,0.22663212732149934,0.47605895361971645,0.09471347649003103
linear regression,shuffled,test,0.2711917892543075,0.5207607792972773,-0.08300149949617741
random forest regression,correct,training,0.019058927133912627,0.1380540732246341,0.9234479383526639
random forest regression,correct,test,0.2353190639992464,0.4850969635023975,0.057684612920466144
random forest regression,shuffled,training,0.02119785437347884,0.14559482948744726,0.915115066370641
random forest regression,shuffled,test,0.27288569519954875,0.5223846238161578,-0.08937387364077293
