regressor,targets,data_set,mse,rmse,r2
linear regression,correct,training,0.15496003982204604,0.39364964095251764,0.37924065866704415
linear regression,correct,test,0.29799706139393745,0.5458910709967122,-0.19545519982564713
linear regression,shuffled,training,0.16730321986889074,0.40902716275192624,0.3299213908750047
linear regression,shuffled,test,0.3274349907344388,0.572219355434993,-0.3097556904321636
random forest regression,correct,training,0.010794126965294453,0.10389478796019776,0.9567738252907454
random forest regression,correct,test,0.23282813117612183,0.4825226742611396,0.07130677669878852
random forest regression,shuffled,training,0.012031562628306026,0.10968847992522289,0.9517404293346342
random forest regression,shuffled,test,0.28612719122849406,0.5349085821226783,-0.14593941914405845
