regressor,targets,data_set,mse,rmse,r2
linear regression,correct,training,0.18203077377437055,0.4266506460494002,0.26597638750326175
linear regression,correct,test,0.2582124982151007,0.5081461386403529,-0.04236498634596031
linear regression,shuffled,training,0.20921131794878012,0.4573962373574799,0.16408993799835703
linear regression,shuffled,test,0.29292405378846736,0.5412245871987592,-0.16995777237204712
lasso regression (beta = 0.1),correct,training,0.1819677491722036,0.4265767799261976,0.26625744401388607
lasso regression (beta = 0.1),correct,test,0.2581762240122805,0.508110444699064,-0.04220181047766014
lasso regression (beta = 0.2),correct,training,0.18196775456690006,0.42657678624943957,0.26625742212281156
lasso regression (beta = 0.2),correct,test,0.25816953991093555,0.5081038672465853,-0.042174772899040786
lasso regression (beta = 0.5),correct,training,0.18196779226926454,0.426576830441205,0.26625726913702674
lasso regression (beta = 0.5),correct,test,0.2581495227164831,0.5080841689292072,-0.042093800479865384
lasso regression (beta = 2.0),correct,training,0.18196846004260403,0.4265776131521719,0.26625455961712186
lasso regression (beta = 2.0),correct,test,0.25805005865720804,0.5079862780205859,-0.0416913689037397
lasso regression (beta = 1.0),correct,training,0.1819679264917067,0.42657698776622577,0.2662567245013545
lasso regression (beta = 1.0),correct,test,0.2581162806895714,0.5080514547657269,-0.04195931811650061
lasso regression (beta = 5.0),correct,training,0.18197213363060305,0.42658191901509734,0.2662396540755443
lasso regression (beta = 5.0),correct,test,0.25785405259940136,0.507793316812462,-0.04089818818962093
lasso regression (beta = 20.0),correct,training,0.1820328684975496,0.4266531008882387,0.26599318753297363
lasso regression (beta = 20.0),correct,test,0.256932658061379,0.5068852513748836,-0.037168440012953746
lasso regression (beta = 10.0),correct,training,0.1819848638244633,0.42659683991382696,0.2661879984362209
lasso regression (beta = 10.0),correct,test,0.2575359079040649,0.5074799581304319,-0.0396103288847561
lasso regression (beta = 50.0),correct,training,0.18231686656596202,0.42698579199542697,0.264840852171242
lasso regression (beta = 50.0),correct,test,0.25535082990811925,0.50532250089237,-0.03076285453111663
lasso regression (beta = 100.0),correct,training,0.18304680718056118,0.42783969799512667,0.26188122765280236
lasso regression (beta = 100.0),correct,test,0.253272405761711,0.5032617666400966,-0.022317986298041687
random forest regression,correct,training,0.010209208412052171,0.1010406275319595,0.958682528446896
random forest regression,correct,test,0.22131110788299332,0.4704371455178612,0.10844981573624385
random forest regression,shuffled,training,0.013049035329731812,0.1142323742628674,0.9478842092866212
random forest regression,shuffled,test,0.28043031418229064,0.5295567147929394,-0.11679933760055577
