epoch,loss,mapping_loss,mapping_weighted_med,mapping_weighted_r2,reconstruction_loss,val_loss,val_mapping_loss,val_mapping_weighted_med,val_mapping_weighted_r2,val_reconstruction_loss
0,0.1676880670657062,0.06262671357279376,0.1599651027140463,0.9343406091736387,0.15203138866191218,0.3320088429130117,0.76195960118491,0.7990382382496907,0.2988326633461918,0.14151894235034784
1,0.1256140993414675,0.004195467589547762,0.05871882353004072,0.9955645108480298,0.12456523240168982,0.31401391478046775,0.7508793898845775,0.7931052075748891,0.29612518020584755,0.1262940672914684
2,0.11793590345949179,0.002640530695126592,0.046540401783057836,0.9972119110711397,0.11727577076666275,0.30632842130472265,0.7458803475776156,0.7849132476113335,0.3014009205188356,0.11985833448121945
3,0.11265974636586294,0.001976423844363776,0.04040402863957118,0.997909659022072,0.11216564037670819,0.29387064327612517,0.7159462978519939,0.7671696624817146,0.32178357822442855,0.1148840689220031
4,0.10877968647594422,0.0015635425070891062,0.035968656848916127,0.9983475864142214,0.10838880086515443,0.2872719660939773,0.702781599404477,0.7608998470128833,0.3329043521854782,0.11157656662538648
5,0.10581955827920411,0.001364162648104831,0.033619754137569124,0.9985564995639661,0.10547851764378567,0.28550435388634604,0.7057173222040642,0.765271132499454,0.3278205350332618,0.1090750232406954
6,0.1036042272631631,0.001162711361666561,0.031049342923270606,0.9987760646097023,0.10331354935978439,0.2855087045419216,0.713469794550311,0.7712615462033835,0.31704660216285147,0.1071412555622061
7,0.10160436020683727,0.0010622945850215964,0.029672908473894644,0.9988799097066443,0.10133878652184611,0.283248798691233,0.7113472478648993,0.7709467183518169,0.31374692520512404,0.10541198637599747
8,0.09986217623378738,0.0009500226359861271,0.02811585697470409,0.9989973089311059,0.09962467060292894,0.28758577824483317,0.7332743566225837,0.787418393178268,0.29041734993751744,0.10426718870197733
9,0.09837052156516245,0.0008761967904573685,0.027014695554580474,0.9990757945120822,0.09815147236346017,0.2905825399135053,0.7502969123155601,0.794874842711161,0.2721369329017232,0.10300831181615591
10,0.0970739391061848,0.0008258288331933497,0.026228956965666565,0.9991295262736506,0.09686748190731888,0.2924716143298149,0.7617764758084555,0.802830465485513,0.2611169989001326,0.10202749547397097
11,0.0958899604993391,0.000769385211562978,0.025341820732506737,0.9991881608302284,0.09569761419371031,0.2962566415163378,0.7806525093762609,0.8128273653795114,0.2413089392538743,0.10109351404552658
12,0.09490512304938242,0.0007295262645934127,0.024688791835467606,0.9992320541392408,0.09472274149538756,0.29724911589225134,0.7893970816135162,0.8160055557764995,0.23488142216104743,0.09989984515910347
