epoch,berlin_loss,berlin_weighted_acc,classification_loss,loss,sketchy_loss,sketchy_weighted_acc,val_berlin_loss,val_berlin_weighted_acc,val_classification_loss,val_loss,val_sketchy_loss,val_sketchy_weighted_acc
0,5.559248335147582,0.004369421260883824,5.147569020519632,9.929134370983299,4.432543918809953,0.05219996738322976,5.468562659432066,0.00468545540984796,4.6885863784697595,8.76531880639524,3.8089816890322434,0.14601366242599123
1,5.438402265218989,0.00853044406329516,4.568383948495143,8.482493259087693,3.6309339974067405,0.16794479616165683,5.313338709104111,0.012025728355408931,4.306098701559767,7.840963904838173,3.2350075214590346,0.25098446869789337
2,5.250026969158415,0.016644091275673466,4.197998850089977,7.619565387784261,3.104908286560025,0.2647837176690738,5.026994566920337,0.030082282747541156,3.888996936625364,6.942086929413737,2.7209490707261224,0.35675606019095496
3,5.067533817124315,0.02748775855847991,3.9041977253210622,6.967955072390433,2.715205726320947,0.3413028263550097,4.882133628030891,0.04652284122973072,3.6586480147619636,6.441083063252118,2.4186979428663546,0.4159711374161499
4,4.903792688465744,0.040366784391081045,3.6631344674191797,6.451791723238822,2.409517197483739,0.40390508806809816,4.685081027978603,0.06255319086447055,3.4309449753359873,5.986624782554958,2.1625631975981654,0.4671025378159723
5,4.732879996143232,0.05644125356715931,3.450620876412423,6.02213434223534,2.1641434254218503,0.4526241629468012,4.48056865269251,0.08498089520298704,3.246624182580685,5.676036977943109,2.009059851920118,0.5012218483111688
6,4.59658428459251,0.06957035774458811,3.277817140157687,5.672191668913192,1.960892670629322,0.49549236867568686,4.3760450996424805,0.09821130262330478,3.1015325375564244,5.380600055633759,1.8338108034024434,0.5384458664488427
7,4.482464675152067,0.08281060798700972,3.1399680224237088,5.401072853764507,1.803564195977259,0.529749227443983,4.235719763975664,0.12039687122313343,2.986338599970146,5.195819002450729,1.7406374353304201,0.5582978280159284
8,4.3863492567116635,0.0956132213236597,3.02355047002663,5.174420989472704,1.6702931806869006,0.5584783965570922,4.200046871707113,0.12543698949275575,2.910324709116196,5.031266225048474,1.6298307200852706,0.5828800873245512
9,4.291793776080175,0.10699177830351651,2.9150657690327852,4.967332036333481,1.550108232905098,0.58499918297031,4.086109361459859,0.1407809632262405,2.8211136884336567,4.900375036020669,1.5673223406915762,0.596845235847697
10,4.219730867181356,0.11577924783514809,2.8277609097879357,4.799569959870053,1.449459674087082,0.60630872565234,4.200542938112099,0.12829691177697813,2.858491615834285,4.922038104648493,1.5317299977273358,0.6070295366146127
11,4.126970579222464,0.12808865167738573,2.7350751483466484,4.63557681536518,1.3585915798692265,0.6286416649296717,4.013054123222649,0.1567402512096629,2.7314654495308592,4.744237582048592,1.462073348261264,0.620422785501699
12,4.063260767600729,0.13695948046654527,2.662475241300053,4.501448925736175,1.2785839431917119,0.6465982368529756,3.8937246356663606,0.1698877303125907,2.6722691565575647,4.704999350890821,1.4639327444470658,0.6232190176741201
13,3.9878140615425695,0.1474210840150616,2.5884539015183563,4.372130470881055,1.2063475123902119,0.6645615416230467,3.8519014784578194,0.17417595161649646,2.6231722029210354,4.613788674262105,1.405494171831681,0.6340494722486759
14,3.930551138487634,0.15554167819932854,2.5271951589855637,4.26263352483837,1.1420331370126235,0.6794277248810365,3.7876864198051163,0.18518802404282045,2.562135006921024,4.51560788569645,1.3524937702417374,0.6499749030495177
