item;ratingType;FORM;LINES;ORIENTATION
butterfly;pre-attentive;0.4444444444444444;0.6666666666666666;-0.6111111111111112
butterfly;attentive;0.6842222222222223;0.27244444444444443;-0.11066666666666666
bell pepper;pre-attentive;0.4444444444444444;0.4444444444444444;0.9444444444444444
bell pepper;attentive;0.2233333333333333;0.5559999999999999;0.5922222222222222
igloo;pre-attentive;0.8888888888888888;0.4444444444444444;-0.7222222222222222
igloo;attentive;0.7128888888888889;0.38222222222222224;-0.20177777777777783
ant;pre-attentive;0.1111111111111111;0.3888888888888889;-0.6666666666666666
ant;attentive;0.17022222222222222;0.2871111111111111;-0.7251111111111112
rose;pre-attentive;0.16666666666666666;0.5555555555555556;0.6111111111111112
rose;attentive;-0.36599999999999994;0.448;0.7557777777777779
lemon;pre-attentive;0.6666666666666666;0.6666666666666666;-0.1111111111111111
lemon;attentive;0.6375555555555557;0.7728888888888888;-0.11688888888888888
car;pre-attentive;-0.7777777777777778;-0.2222222222222222;-1.0
car;attentive;-0.6522222222222221;-0.2215555555555556;-0.924
blouse;pre-attentive;0.8888888888888888;0.5555555555555556;0.8888888888888888
blouse;attentive;0.28022222222222226;0.5126666666666666;0.3284444444444445
fly;pre-attentive;-0.2777777777777778;0.16666666666666666;-0.2777777777777778
fly;attentive;0.1071111111111111;0.6097777777777779;-0.6413333333333333
stag;pre-attentive;0.3888888888888889;0.1111111111111111;-0.2222222222222222
stag;attentive;0.049555555555555526;0.21466666666666664;-0.6882222222222221
cow;pre-attentive;-0.3888888888888889;0.6666666666666666;-0.7222222222222222
cow;attentive;-0.512;-0.26155555555555554;-0.8668888888888889
ladybug;pre-attentive;0.7777777777777778;0.6666666666666666;0.1111111111111111
ladybug;attentive;0.7524444444444445;0.786222222222222;-0.14822222222222223
goat;pre-attentive;-0.6111111111111112;0.6666666666666666;-0.8888888888888888
goat;attentive;-0.42799999999999994;0.3268888888888889;-0.847111111111111
banana;pre-attentive;-0.7222222222222222;0.7777777777777778;0.05555555555555555
banana;attentive;-0.7717777777777778;0.6800000000000002;0.08000000000000002
palm tree;pre-attentive;-0.7777777777777778;0.4444444444444444;0.8888888888888888
palm tree;attentive;-0.6211111111111111;0.4115555555555555;0.8355555555555555
microwave;pre-attentive;0.3333333333333333;-0.6666666666666666;-0.8888888888888888
microwave;attentive;0.06288888888888892;-0.39511111111111114;-0.9188888888888889
owl;pre-attentive;-0.3888888888888889;0.6666666666666666;0.05555555555555555
owl;attentive;-0.3551111111111111;0.5637777777777778;0.4508888888888889
tractor;pre-attentive;0.2222222222222222;0.0;-0.6111111111111112
tractor;attentive;0.5342222222222222;-0.00044444444444444485;-0.6708888888888889
bowl;pre-attentive;0.16666666666666666;0.8888888888888888;-0.8888888888888888
bowl;attentive;0.5377777777777778;0.7948888888888889;-0.506
saw;pre-attentive;-0.5555555555555556;-0.4444444444444444;-0.05555555555555555
saw;attentive;-0.882;-0.7422222222222223;-0.11777777777777776
shovel;pre-attentive;-0.6666666666666666;-0.2222222222222222;0.0
shovel;attentive;-0.9237777777777778;-0.6048888888888888;0.08333333333333331
donkey;pre-attentive;-0.4444444444444444;0.3333333333333333;-0.8888888888888888
donkey;attentive;-0.0611111111111111;0.3028888888888889;-0.6968888888888889
raspberry;pre-attentive;0.8888888888888888;0.4444444444444444;-0.1111111111111111
raspberry;attentive;0.7737777777777777;0.9057777777777779;-0.03466666666666666
carrot;pre-attentive;-0.7777777777777778;-0.2222222222222222;0.0
carrot;attentive;-0.854888888888889;0.09466666666666665;-0.07644444444444444
church;pre-attentive;-0.3333333333333333;-0.7777777777777778;-0.2777777777777778
church;attentive;0.12911111111111115;-0.6146666666666667;-0.6055555555555556
bicycle;pre-attentive;-0.5;0.4444444444444444;-0.7777777777777778
bicycle;attentive;0.07400000000000001;-0.018444444444444447;-0.6586666666666665
tulip;pre-attentive;-0.16666666666666666;0.3333333333333333;0.7777777777777778
tulip;attentive;-0.544;0.7904444444444445;0.5637777777777777
shirt;pre-attentive;0.6111111111111112;0.0;0.7777777777777778
shirt;attentive;0.38444444444444453;-0.20355555555555557;0.6388888888888888
onion;pre-attentive;0.8888888888888888;0.6666666666666666;0.0
onion;attentive;0.8562222222222222;0.5404444444444445;-0.09088888888888892
asparagus;pre-attentive;-0.8333333333333334;-0.5555555555555556;0.0
asparagus;attentive;-0.583111111111111;-0.5126666666666666;-0.015555555555555569
hammer;pre-attentive;-0.8333333333333334;-0.3333333333333333;0.0
hammer;attentive;-0.8684444444444445;-0.4411111111111111;0.11311111111111109
plate;pre-attentive;0.6666666666666666;0.7777777777777778;-0.8333333333333334
plate;attentive;0.7306666666666667;0.8735555555555555;-0.8566666666666667
scooter;pre-attentive;-0.3333333333333333;-0.4444444444444444;0.1111111111111111
scooter;attentive;-0.026888888888888938;-0.14777777777777779;-0.10022222222222221
dragonfly;pre-attentive;-0.5;0.1111111111111111;0.0
dragonfly;attentive;-0.2273333333333333;0.2422222222222222;0.028666666666666667
axe;pre-attentive;-0.7777777777777778;-0.6666666666666666;0.0
axe;attentive;-0.9319999999999999;-0.6064444444444445;-0.007111111111111105
apple;pre-attentive;0.8333333333333334;0.6666666666666666;0.3333333333333333
apple;attentive;0.8633333333333334;0.7937777777777778;0.04733333333333335
eagle;pre-attentive;-0.2222222222222222;0.4444444444444444;0.0
eagle;attentive;0.14711111111111114;0.5991111111111111;0.09644444444444446
salt shaker;pre-attentive;-0.6666666666666666;-0.7777777777777778;1.0
salt shaker;attentive;-0.714;-0.4222222222222222;0.8939999999999999
