item;ratingType;FORM;LINES;ORIENTATION
television;pre-attentive;0.5555555555555556;-0.7777777777777778;-0.3333333333333333
television;attentive;0.8333333333333333;-0.8393333333333333;-0.44488888888888894
broccoli;pre-attentive;0.3888888888888889;0.5555555555555556;0.7777777777777778
broccoli;attentive;0.29733333333333334;0.4671111111111112;0.6844444444444444
bus;pre-attentive;-0.5555555555555556;-0.6111111111111112;-0.7222222222222222
bus;attentive;-0.8706666666666667;-0.642;-0.5017777777777778
windmill;pre-attentive;0.1111111111111111;-0.6666666666666666;0.2777777777777778
windmill;attentive;0.15955555555555556;-0.6417777777777778;0.46199999999999997
stork;pre-attentive;-0.2777777777777778;0.4444444444444444;-0.16666666666666666
stork;attentive;-0.025333333333333343;0.2751111111111111;-0.4686666666666667
jacket;pre-attentive;0.6111111111111112;0.0;0.8888888888888888
jacket;attentive;0.20399999999999996;0.11755555555555557;0.7571111111111111
coat;pre-attentive;0.0;0.1111111111111111;1.0
coat;attentive;-0.6084444444444445;-0.045555555555555544;0.7115555555555555
pyramid;pre-attentive;0.8333333333333334;-0.6666666666666666;0.3888888888888889
pyramid;attentive;0.47822222222222227;-0.9128888888888889;0.1922222222222222
horse;pre-attentive;-0.2222222222222222;0.4444444444444444;-0.7222222222222222
horse;attentive;-0.18444444444444444;0.4926666666666666;-0.8004444444444444
parrot;pre-attentive;-0.5555555555555556;0.3333333333333333;0.05555555555555555
parrot;attentive;-0.7153333333333334;0.42733333333333334;0.020888888888888894
uniform;pre-attentive;0.16666666666666666;0.0;0.6666666666666666
uniform;attentive;0.13844444444444445;0.015333333333333346;0.731111111111111
teapot;pre-attentive;0.5555555555555556;0.7777777777777778;0.2777777777777778
teapot;attentive;0.21000000000000002;0.8191111111111111;0.1591111111111111
dandelion;pre-attentive;-0.2777777777777778;0.5555555555555556;0.8888888888888888
dandelion;attentive;-0.46733333333333327;0.33377777777777784;0.5957777777777777
pliers;pre-attentive;-0.6666666666666666;-0.7777777777777778;0.0
pliers;attentive;-0.8477777777777779;-0.38355555555555554;0.049999999999999996
pigeon;pre-attentive;-0.8888888888888888;0.2777777777777778;0.16666666666666666
pigeon;attentive;-0.16111111111111112;0.5475555555555557;0.13333333333333336
cherry;pre-attentive;0.4444444444444444;0.5555555555555556;0.3888888888888889
cherry;attentive;0.32111111111111107;0.6084444444444443;-0.20088888888888887
washing machine;pre-attentive;0.8888888888888888;-1.0;0.2222222222222222
washing machine;attentive;0.5906666666666668;-0.7317777777777779;0.42000000000000004
sunflower;pre-attentive;-0.2222222222222222;0.2222222222222222;0.8333333333333334
sunflower;attentive;-0.7251111111111112;0.21844444444444447;0.8524444444444446
toaster;pre-attentive;0.16666666666666666;-0.6666666666666666;-0.3333333333333333
toaster;attentive;-0.05177777777777778;-0.9075555555555554;-0.24111111111111116
glass;pre-attentive;-0.6111111111111112;-0.3888888888888889;1.0
glass;attentive;-0.6884444444444444;-0.3831111111111112;0.8460000000000001
dishwasher;pre-attentive;0.6666666666666666;-0.6666666666666666;0.4444444444444444
dishwasher;attentive;0.23444444444444443;-0.6573333333333333;0.27377777777777784
lighthouse;pre-attentive;-0.6666666666666666;-0.5555555555555556;1.0
lighthouse;attentive;-0.8366666666666666;-0.46199999999999997;0.8188888888888889
