dim,metric_stress,nonmetric_stress
1,0.533046758894814,0.500370071715434
2,0.38821147203352,0.364049864019849
3,0.301596366216676,0.282149165527934
4,0.248314547330966,0.23058840672429
5,0.197144905500694,0.18278516450297
6,0.174466986275418,0.163828226723089
7,0.157187635006435,0.148089787099665
8,0.138703835711691,0.13166956393094
9,0.125030144696563,0.118980952418986
10,0.110119468486517,0.105765268021232
