n_dims,scoring,pearson,spearman,kendall,r2_linear,r2_isotonic
1,Euclidean,0.467220007520482,0.5093534048078124,0.3587575389634376,0.21829453542743948,0.5649807957559381
1,Cosine,0.3169638192795043,0.3328790461057684,0.2719069821534852,0.10046606273225034,0.10046606273225034
1,Manhattan,0.467220007520482,0.5093534147474352,0.358767104245063,0.21829453542743937,0.5655644433375474
2,Euclidean,0.6516309615501169,0.6756611948587681,0.49124287289605834,0.42462291005073005,0.6987110274490322
2,Cosine,0.5137534847539998,0.5546029974854015,0.3918080521034405,0.2639426430968784,0.6275693516549893
2,Manhattan,0.6348638058059286,0.6629874972378266,0.47887565975612684,0.4030520519223878,0.6920618663277451
3,Euclidean,0.7367961108838864,0.7220478096580429,0.5310186473327121,0.5428685090136204,0.7528359536945559
3,Cosine,0.6060765411921839,0.6401685271026764,0.4602998497047793,0.36732877378348117,0.7028307893095294
3,Manhattan,0.7146382556642692,0.6944400107388716,0.507885151946987,0.5107078364588696,0.7411349530662455
4,Euclidean,0.7934819074340457,0.7419669528932042,0.5517498750829097,0.6296135374251717,0.7916556414509609
4,Cosine,0.6694614327320432,0.6889566447879547,0.5040378986809446,0.44817860991564007,0.7630101267399629
4,Manhattan,0.7585868720783953,0.7127146399277475,0.5237551909714852,0.5754540424896839,0.7724228627158191
5,Euclidean,0.8390211307272589,0.7890998777772189,0.5972741483225094,0.7039564578068483,0.8297402945373417
5,Cosine,0.7171786913770386,0.7354641014463033,0.5452982821947815,0.5143452753652815,0.7986643937590783
5,Manhattan,0.7907226041536041,0.7343946018001284,0.5448277548169203,0.6252422367194572,0.790938549539797
6,Euclidean,0.8693685339909452,0.8038987968986492,0.6160125439962102,0.755801647893565,0.8514553128734326
6,Cosine,0.7499189352210108,0.7520627412076176,0.5637996477522687,0.5623784094030148,0.8209264235818176
6,Manhattan,0.8240189279973169,0.745995866653409,0.5563656969486954,0.6790071936978472,0.8122077567995227
7,Euclidean,0.8885744440749387,0.8215398683063541,0.6340405574744337,0.7895645426630865,0.8637671569705488
7,Cosine,0.7737251794150627,0.7705377399222563,0.5809991890837867,0.5986506532608711,0.8334400303011527
7,Manhattan,0.8397197369409719,0.7611735653859817,0.5725860068609727,0.705129236608215,0.824056397601868
8,Euclidean,0.9025220930449764,0.8302811542920255,0.6438925422608339,0.8145461284342849,0.8738742097546406
8,Cosine,0.7925587279914087,0.7805077965494235,0.5912744380696988,0.6281493373153597,0.8440065306556183
8,Manhattan,0.8480762934901428,0.7568208453178412,0.5678683256667163,0.7192333995799787,0.8243502616245062
9,Euclidean,0.9157372498769034,0.8490507869558626,0.6648235440129117,0.8385747108121145,0.8838262658224192
9,Cosine,0.8096783447607392,0.7982713021532739,0.6083355889959635,0.6555790219744904,0.8529808516085129
9,Manhattan,0.8704600261743405,0.7844594597508953,0.5945490413829688,0.7577006571674335,0.8397929863142494
10,Euclidean,0.9272371768168012,0.8612046541808562,0.6782963364568283,0.8597687820711919,0.8934136543653374
10,Cosine,0.82737312169366,0.8096322638333993,0.620427092748752,0.6845462825011119,0.8614790865671644
10,Manhattan,0.8736721990696179,0.7705699237696135,0.5828469395980655,0.763303111427142,0.8346225842028578
