n_dims,scoring,pearson,spearman,kendall,r2
1,Euclidean,0.5349398829714836,0.5372666343648933,0.37801440941635334,0.28616067839354464
1,Manhattan,0.5349398829714836,0.5372666426210077,0.37802234614351166,0.28616067839354464
1,Cosine,0.39964359847451675,0.3931503134127343,0.3211235437541471,0.15971500580166076
2,Euclidean,0.7524622417946838,0.7323793943358359,0.5445709796817791,0.5661994253266814
2,Manhattan,0.7185302387245853,0.6967704264354304,0.5091721087816667,0.5162857039616098
2,Cosine,0.6567939418158214,0.6586806086063544,0.4767807323885727,0.4313782820059646
3,Euclidean,0.8916662109989625,0.8719751057035976,0.7042307809606329,0.7950686318372465
3,Manhattan,0.8430557676031658,0.8140045271003398,0.6298762728746712,0.710743027288963
3,Cosine,0.8248043811983586,0.8314888240849738,0.6510776407760437,0.6803022672440073
4,Euclidean,0.9998109107730344,0.9997468507426154,0.9913106280482005,0.9996218573008046
4,Manhattan,0.9435917291762402,0.923615977439256,0.7715756605761516,0.8903653513698071
4,Cosine,0.9535671713056001,0.9691794398969615,0.8582278414721732,0.9092903501917632
5,Euclidean,0.9992115444371417,0.999242680935181,0.9782628860248066,0.9984237105364581
5,Manhattan,0.950324201543752,0.9343305539606117,0.7867788021772709,0.9031160880397697
5,Cosine,0.9538727910182555,0.9686733217657689,0.8568459112123853,0.9098733014449568
6,Euclidean,0.9989474290683686,0.9990305496906473,0.9737327890220916,0.9978959660423031
6,Manhattan,0.9588634327052774,0.9443320106330281,0.804485260816666,0.9194190825793476
6,Cosine,0.9544292727646387,0.9682595865522661,0.8556204979157227,0.910935236710037
7,Euclidean,0.9988624370730604,0.9989701990447474,0.9735667296095494,0.9977261681955333
7,Manhattan,0.9696352015354718,0.9578561070265755,0.8297665678482825,0.9401924240567352
7,Cosine,0.9551188329444008,0.9683262313348356,0.8556395853502502,0.9122519850450743
8,Euclidean,0.9989134744119287,0.9990585717283776,0.9741257300508738,0.9978281293617107
8,Manhattan,0.9614922166777359,0.9477599204940569,0.8117461209109107,0.9244672827318663
8,Cosine,0.9551994024933876,0.9683518004342229,0.8558944026011917,0.9124058985237246
9,Euclidean,0.9989293961733746,0.9990863435311865,0.9744869694304035,0.9978599385393029
9,Manhattan,0.9645934366402326,0.9514181464311162,0.8172079903009424,0.9304404980094145
9,Cosine,0.9558034598989322,0.9683465701054186,0.8559927028890081,0.9135602539547698
10,Euclidean,0.9989216680531857,0.9991569139406057,0.9755855362321184,0.9978444989061591
10,Manhattan,0.9705560054651947,0.9599702984100013,0.8331698574245281,0.9419789597445551
10,Cosine,0.9560528614294876,0.9681545469094244,0.8559249424964356,0.9140370738475113
