configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,berlin_loss,sketchy_loss,classification_loss,mapping_weighted_med,mapping_weighted_r2,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,1,181,0.238700310077823,0.44222675371103487,0.2616421349766667,0.2768799493533765,0.22199481898831389,0.42632137836077444,4.91035572103985,0.5096899316468085,2.510477604691615,1.7612705774180224,2.152325055732102,0.6824890658724277,0.46508247986244283,0.5360496388224534,0.7100342435910076
c1.0_r0.0_m0.0625_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,1,66,0.19843954141253686,0.4111701812178482,0.251458820539574,0.30443016522381183,0.19437117546785368,0.3876791964869547,5.088507880560687,0.7346133298637926,2.529609101276634,1.8719519787396564,2.2180612864592035,0.7792922436498048,0.27063222184233354,0.5142676822880482,0.6901069109689016
c1.0_r0.0_m0.5_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,1,29,0.22121168791137777,0.4504517469014047,0.2838399853524212,0.32224349739313185,0.21950576738211858,0.4448217339173709,5.434723797714124,0.5871682505219628,2.483365743325035,1.876119502222929,2.19712867896381,0.6989883358034483,0.3982282417758776,0.5028912753213854,0.6820444908879819
c1.0_r0.0_m1.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,3,20,0.1995006840217853,0.42644750106389856,0.2525056057457453,0.31642560570947953,0.1977399443171406,0.4228088141374456,5.787094003024649,0.5644432338225968,2.4918235694281816,1.8971779008180392,2.2084785676579006,0.6957374401113029,0.47222817857077987,0.5108938477718439,0.6850861024524345
c1.0_r0.0_m2.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,3,165,0.1561922302487561,0.4384571825433371,0.24516375189946915,0.2741342711108491,0.14483682963318228,0.43535379789190864,6.034577786086036,0.6574469540438278,2.6153420090257695,1.6788853124526681,2.161190874597088,0.7354424039595469,0.36853416969557673,0.5246771971685965,0.709861326643678
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,0,25,0.23401457580082186,0.4515113040941513,0.2541841166873117,0.2719192298955637,0.23321186644696235,0.4298125474983818,5.342150980083669,0.47549853711235757,2.5031200440883157,1.9180758092784491,2.226286847029553,0.6207013570193369,0.48435488905362617,0.5012415382627581,0.6778206557792719
c1.0_r0.0_m0.125_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,2,53,0.23423776815774866,0.4466794919210077,0.2619005682320557,0.3154189479030335,0.2328555418069564,0.43679496305250287,5.352969729726432,0.3251123034599298,2.6167041240978577,2.003128884144494,2.328687132388842,0.534393714895807,0.6437858738146587,0.5093509355856747,0.6765785378852829
c1.0_r0.0_m0.0625_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,0,126,0.20094295042180932,0.4425352139858383,0.22506077715451883,0.27283258834167384,0.17862893560297602,0.4315717061746609,5.188097454549836,0.46343418769869427,2.7544688334999177,1.907686482028883,2.347834916011232,0.6277207608223885,0.511095690354495,0.5073348634531264,0.6963955304906017
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,4,156,0.23382792956081874,0.4346855262326579,0.2616108097335893,0.3000864681605412,0.2147064790989617,0.4241787292864984,4.976710893263582,0.43590350704318004,2.5837964495846175,1.7844118463475196,2.199993568826894,0.5868288638367734,0.508893982982908,0.521241646009879,0.7053862295790774
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,2,171,0.20599936674189356,0.4426908799771616,0.24378283076713844,0.27439658646187326,0.18610914260617756,0.42887576226591106,5.1164852788370165,0.3576647314392751,2.6448934532782022,1.876420918076742,2.2754003134628786,0.5494125778861654,0.6034955901456425,0.5169214912257234,0.6964623664016606
