configuration,fold,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,berlin_loss,sketchy_loss,classification_loss,mapping_weighted_med,mapping_weighted_r2,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.5_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.3350998299932752,0.4569453612017657,0.3553777040120746,0.353077876009143,0.3345829634824974,0.4488800713916474,4.0187116376337455,0.4645275309022871,1.9817334715997132,1.0296383720563083,1.513412254640802,0.6223480902705618,0.46527938594717294,0.4976493384945588,0.7391721695216953
c1.0_r0.0_m0.5_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.3578432616859618,0.4853932046267085,0.3707662296738694,0.3241905001589759,0.35634748132901384,0.47466730198122065,3.91209751048049,0.41250303022715284,1.9361588925821744,0.9768244155210549,1.4659370367656477,0.6044504902773803,0.5583147927087819,0.5159878153390571,0.7500389726523493
c1.0_r0.0_m1.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,1,0.3364964137471446,0.45645682474686317,0.38430265033871036,0.37194101383808653,0.3359129810948272,0.4612374785119506,4.344221883447444,0.5191620332878268,1.938934662545555,1.0468425048799788,1.5003239317067334,0.6928693779571007,0.48188233392901686,0.5094949395632158,0.7435072876307808
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,1,0.2910656747556185,0.43881828035719445,0.35512971250437814,0.3397779078409259,0.29117270266946643,0.4397681618807562,3.861617325167187,0.4949317892908459,1.9514004920062806,1.015260706863931,1.4916367234480186,0.6739077766611895,0.49335237929552456,0.5066971260226164,0.7452922821362488
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.2876603597894079,0.4033609927431887,0.34145754911953496,0.34061048271145583,0.28349932333395395,0.40645875159137124,3.8550411172108574,0.6115471560946137,1.9450942784476573,0.9994078424094153,1.481509318426007,0.7363611341412701,0.45746599048267683,0.5105686571471026,0.7445816899474527
c1.0_r0.0_m2.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.3271915113346819,0.4352235760973856,0.399276116529729,0.3615970491842711,0.32583799979004396,0.43268942596054794,4.652465565446947,0.43281032666550606,1.9098662093574683,1.021354456084185,1.4742998752310628,0.6262127853051433,0.5298422564541097,0.5212210739728858,0.7464265811878149
c1.0_r0.0_m0.5_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,1,0.3073874316174289,0.45788860517284125,0.36365670471375094,0.3567837915482745,0.3033255917650535,0.4549176550598176,3.989758607969909,0.5259249995386192,1.8703388953733555,1.0110323140811726,1.4494982795378224,0.701494014257377,0.45620244777347646,0.5272075735716546,0.7507144142716634
c1.0_r0.0_m2.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,1,0.32458890572233084,0.45263255998721463,0.4141125347822839,0.3823309893620842,0.3222199342145991,0.4446455778751332,4.811174445386793,0.5310089371061345,1.8465600846433332,1.012669558784268,1.438865057592265,0.7021056665969546,0.4623355109395238,0.5337004483469197,0.7549451816111314
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.2966428732418653,0.4301502990793347,0.36598782488609755,0.3574796742390809,0.29413424335874655,0.4344192206078853,3.7880305006318404,0.31495164683436566,1.907141364004778,1.00758811553873,1.4653271996464396,0.5373462958996321,0.6424408496213604,0.5244469388860171,0.7518506056060557
c1.0_r0.0_m0.5_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.3004802155188523,0.4415933915829685,0.355082724639762,0.3528775352004296,0.2992689727865244,0.43818884829758914,3.9247078178495656,0.3744002229347473,1.9303203655561751,1.0079964475577972,1.478479558595624,0.5840254111881893,0.5947356151166662,0.5128315953495073,0.7508576986657791
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.3258654093777368,0.47378743579742677,0.36389425447375495,0.34346490230874477,0.3255286630146542,0.4601608253285847,3.8106127540967503,0.4119475074662661,1.956798655943881,0.9861235407766749,1.479813799745724,0.5934644382166708,0.5571231601416442,0.5136014438203124,0.7551414289577085
c1.0_r0.0_m2.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.37441953614777645,0.48884170273695293,0.42023531458546287,0.3772481513708732,0.37200749243081316,0.47656476802071196,4.535902204390432,0.38645703525259734,1.9480042834484277,0.9914157883397868,1.4790634237009972,0.5647185953963556,0.5895636499328348,0.519295969817482,0.7531310252430009
c1.0_r0.0_m0.125_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,1,0.2757619882938251,0.4332207945326939,0.33941488222719324,0.3421951856060709,0.2744985368230348,0.4337750204182028,3.725340898685768,0.4934608272173919,1.9085528609123783,1.006915139500235,1.4667004324070743,0.6721078039379418,0.49397969573301065,0.5128276307559689,0.7499814366986517
c1.0_r0.0_m1.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.36662999236918514,0.4549343428457432,0.373260502153911,0.3484102016975414,0.3655910384737832,0.45681173041218254,4.1969341420423785,0.4712802850682982,1.8707804761918436,0.9977359817592335,1.4433595868627556,0.6257499728267022,0.46505740999629086,0.5283105413855099,0.7537634364097822
c1.0_r0.0_m1.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.37010448391385836,0.4524381959558438,0.3638041943999073,0.34971432527155183,0.3658651343507109,0.4552011406343118,4.426919284947583,0.6800933807058364,1.9269933240726933,1.0063336150614453,1.4768359171801904,0.7816832364534543,0.38269270118167165,0.5172506455373569,0.7498565942899126
c1.0_r0.0_m1.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.3461210946826896,0.4612412938568581,0.39489580337273295,0.34150216118574106,0.3436255169841865,0.45752909523083585,4.177328576959548,0.42429943955780336,1.9330073271239312,0.9927138334810733,1.4713382335178187,0.6051969912893065,0.5517606202909707,0.5176130162047559,0.7529797031815912
c1.0_r0.0_m1.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.33411569527325885,0.45865138594620003,0.39854649940971687,0.3464949782209477,0.3295004427931819,0.44964966330760375,4.031936405310866,0.32612339306231775,1.857505743087044,0.9791583885665311,1.4274744526895344,0.5475417390857471,0.6218182261348587,0.5356833043738467,0.7597052724498217
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.3084276907312924,0.4350347440226616,0.3509138568735387,0.3539450947789481,0.3035239849712107,0.43958671623804485,3.755410890362302,0.4441594233655195,1.8294711013913996,0.9805026769777302,1.4133336023722516,0.6141682131076102,0.486815425027992,0.533469439245394,0.757517535492045
c1.0_r0.0_m0.125_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.3012085274204029,0.45112705531143754,0.3485814314827306,0.3396440154716539,0.295987653574162,0.4413673293723047,3.7125562604099023,0.35257748321108173,1.909967842678379,0.9885997335331851,1.457387887143942,0.5467678749767148,0.6334620842711206,0.5262121807610403,0.7530407061694099
c1.0_r0.0_m2.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.37950988814786124,0.45903482475486757,0.3893747292803333,0.36332165326492827,0.37543108045548557,0.4561588922436092,4.8999955571166804,0.6103197463194603,1.9189645556383226,0.9587483274919576,1.4477973148427048,0.7440228716423964,0.44295107567382663,0.5247428767163246,0.7597959078916761
c1.0_r0.0_m0.125_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.28862100057711626,0.4156001309180032,0.3326486297224652,0.29236845329061023,0.2774091739923141,0.4072442641558342,3.6605032689786348,0.3401858919830969,1.8505391853140807,0.9742785512113669,1.421424836254755,0.5654673917455698,0.628219487032124,0.5379834217751612,0.7589760774203012
c1.0_r0.0_m0.125_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.2814984234323822,0.40903094266059525,0.3155319948175646,0.31145549802949335,0.2760569676661377,0.41019347553414665,3.690149035629679,0.5828955936471855,1.9073446313477762,0.9507730521882166,1.4368827012557475,0.7171162658158654,0.4821381939090254,0.520102247470715,0.7618182899605055
c1.0_r0.0_m2.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.36545529575378094,0.4668330487338121,0.39506026089888957,0.33818907266134923,0.35990681207368846,0.4609383087876272,4.601717110016307,0.4670154867605289,1.8350454107812533,0.9658786110907305,1.4099144910630144,0.6359157490853082,0.46204245761685175,0.5394480095627855,0.7629120809719211
c1.0_r0.0_m0.5_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.3690094056246094,0.4560276432223443,0.36457818894761246,0.3355245204344067,0.36363060034451977,0.454024570591371,3.9575374191940806,0.6115696769396752,1.8878535567258785,0.955361508191609,1.4300657476069498,0.747079715365836,0.43451578439881294,0.5291373920245249,0.7668693618329822
c1.0_r0.0_m0.125_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.2951979964049181,0.4142479658422339,0.3262125974885118,0.3186226103700066,0.28518566558628977,0.4124873575910624,3.639992127776146,0.4621839809579415,1.8134686515816583,0.9535980610385781,1.3924545713863412,0.6339851887793374,0.46819084520133775,0.5420401030773999,0.7647360057767297
