configuration,fold,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,berlin_loss,sketchy_loss,classification_loss,mapping_weighted_med,mapping_weighted_r2,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.5_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.2540575104965404,0.33305513034558487,0.30206736116810945,0.3574331615433547,0.2541658436288499,0.3284666797580814,4.996066479608661,1.0442634316652466,2.8592183512589524,1.3735187820416004,2.126915605367696,0.7784059094250174,-0.16726285146689424,0.3334138207005673,0.6476233037314454
c1.0_r0.0_m1.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.29970100009730083,0.3807519510916072,0.28638646657092515,0.35106804671657343,0.29855632350651257,0.3772833975934715,5.3806899095167875,0.7089888247256784,3.08284588027836,1.4593907365583982,2.2851462972076213,0.7638888217172186,0.17792757867159298,0.2867348280578363,0.6192738391341733
c1.0_r0.0_m2.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.33092182569782097,0.42119302951876236,0.3462607530580766,0.3959264143034525,0.33342262427017033,0.4079186713817518,5.1457216957514404,0.4678266278289314,2.534742123947069,1.1832240312915356,1.8709250755847477,0.6248677051877369,0.507887553247272,0.39543021862306554,0.6941212553635973
c1.0_r0.0_m2.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.31938369449762877,0.3652228100421703,0.2916334447863972,0.3249302559839618,0.3195559833345547,0.3634367710758515,5.834701443805069,0.7427714363640257,2.7481951404298823,1.2865598942945238,2.0284027746217173,0.7906833523317179,0.18373323194280297,0.3493770702706009,0.6625626162256374
c1.0_r0.0_m2.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.35541816578438296,0.4118039230146473,0.33903767409180235,0.352613706981573,0.36205259122449346,0.4048073834862279,6.859374256200478,1.3527124832674866,2.4974319257032525,1.1817038535954523,1.8489974407006482,1.0021443120872469,-0.15011127620548406,0.39531942860953145,0.6931277172663173
c1.0_r0.0_m0.5_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.3144290852175462,0.36134113176248805,0.3215973450084349,0.3352105013404141,0.309514937709772,0.3685231018377897,4.521397809585587,0.8524196693742889,2.4846768668892456,1.1868478305491268,1.8449746700828193,0.8172545589620128,0.060448792311172075,0.39963958290903295,0.6920206876362933
c1.0_r0.0_m2.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.3109624249836423,0.38332522184958295,0.31936672665762844,0.39189951335256534,0.3126344098329009,0.37062971680140333,5.006062932839159,0.41336376069983677,2.4463758153856334,1.2147974633315548,1.8411334488489588,0.5983558095288845,0.5414122625934914,0.4109748466615794,0.6912025927339421
c1.0_r0.0_m1.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.3295500410947212,0.3897003074028476,0.31969955736532635,0.3802378690853438,0.3262987419069747,0.38658421188856434,6.0612866389438755,1.9560566022157946,2.4698559522168453,1.1688814974119428,1.8271509333184508,1.0975000647937585,-0.6800814041935183,0.40013727986128605,0.6925528440324009
c1.0_r0.0_m0.5_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.3030841263496649,0.404990066507154,0.33000164668242105,0.3895183715258967,0.2980407622141963,0.39621948691383346,4.345970567247907,0.5623030802603415,2.3821883255210365,1.1687341086649503,1.7857380655241795,0.6642429125993677,0.391356303465358,0.42660176217556,0.7020402339413517
c1.0_r0.0_m0.125_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.25616804874888327,0.3007059151466923,0.28644911705708004,0.3603618041270405,0.25709214341966785,0.2972120617845343,4.050562212924488,0.7874062554607806,2.346593194380605,1.171275128099762,1.7670611714930808,0.7192878625486595,0.08292499830776283,0.4285023304766319,0.6984595273698939
