configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,berlin_loss,sketchy_loss,classification_loss,mapping_weighted_med,mapping_weighted_r2,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m1.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,17,0.31749895903913583,0.4564163330315278,0.35964576838137646,0.3777992784396663,0.3182768692422257,0.4434734158103237,4.093749103172881,0.5418442896903137,1.7359416128645138,1.117742069690931,1.4357067129299288,0.7062917633848717,0.4421004769224712,0.5626905900728507,0.7431768987413313
c1.0_r0.0_m0.125_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,127,0.30868351354975815,0.42910530981920214,0.32878518307624693,0.33474810802081933,0.30158181990040905,0.4272666977595378,3.2860283639001064,0.2946299284419096,1.5829511202920012,1.0052999434094938,1.303348061268447,0.5162965013910813,0.6693788406783524,0.6197372001077308,0.7864798617304348
c1.0_r0.0_m0.25_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,89,0.3134814966144535,0.43236312544630595,0.37198530371696664,0.3289741268691907,0.3072556045528113,0.4328721072681585,3.4201270358679725,0.44335554550650524,1.6144815058869062,1.0164263722881919,1.324151740502627,0.620485459667342,0.5334430632632012,0.6136478390420069,0.7802847145502685
c1.0_r0.0_m0.25_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,7,0.2841245229770413,0.42418861106774586,0.30354225802967255,0.37094106389142373,0.287532448380175,0.42535976183082225,3.7685556556924444,0.5516994351775483,2.2603674480171683,1.1637166464822215,1.7196342114855032,0.6924661842233841,0.4993585533582735,0.44161944224990785,0.6931605043792334
c1.0_r0.0_m0.5_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,4,0.30803220953743965,0.43446935662514985,0.3130364171190615,0.3752301932370955,0.30902417556822537,0.4240321530406215,4.434713412511544,0.6090579677615633,2.6918638200094445,1.3806528042896848,2.048265763986306,0.7500131173412964,0.3428942584777251,0.3598031939076581,0.6345375548884516
c1.0_r0.0_m0.125_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,73,0.304852697365079,0.4340813024233826,0.35047138781506976,0.3265692338793754,0.3031650498942816,0.4356706145459198,3.3406695180779598,0.38813288097267223,1.6027921313207094,1.0236193515995486,1.3206389599896846,0.5778246694955592,0.5890564789599243,0.6077190925654817,0.7768748806485387
c1.0_r0.0_m2.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,11,0.31912526124223983,0.4523581123969637,0.3526511026458753,0.35011381952658077,0.31827164836837946,0.44818610813346094,4.715905505774451,0.5998720039239994,1.8530292550959886,1.0768061257529942,1.4726247263904966,0.7496313988938428,0.37905005732839964,0.5314454385506325,0.7307235558443382
c1.0_r0.0_m2.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,139,0.3512584345473906,0.47142301291485006,0.39301628878808625,0.3676696036986328,0.34157371356261385,0.4726284736744589,3.9725937173816024,0.34274245297577116,1.6487702260170816,0.9890651119842393,1.3284378066788443,0.5695879379941621,0.6320215077960986,0.6242836473613489,0.7922464121243016
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,55,0.2684958371183194,0.4054010802499559,0.30787427810359086,0.341060389448399,0.2678236496106159,0.4059539575224676,3.274105983900242,0.3827264880256611,1.5653992169313948,1.0169178040325642,1.300649616038213,0.5688658844062271,0.565953709691471,0.6003748295512356,0.7694664616120643
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,169,0.28967692231251846,0.4324115866795498,0.3309883918393606,0.3379266662988347,0.2810455126262208,0.4220505413111713,3.2185447735678956,0.4817380149189309,1.5404743282733828,0.9782436783653302,1.269006800674757,0.667315824952839,0.49989184511673146,0.6291014987225644,0.7952821940823657
