regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.502896650552923,0.6648937220532828,0.4940777609574921,1.3171602871105847,1.0844672505570785,-0.32507778345609073
linear regression,shuffled,0.6036790921470694,0.7323366765618003,0.3989575798398093,1.6075175259280328,1.2099330297300803,-0.5954681094624169
lasso regression (beta = 0.002),correct,0.5127223196089561,0.6732348949520235,0.4842039721706855,1.2307943662315868,1.0528037593976685,-0.2379608692127282
lasso regression (beta = 0.001),correct,0.5081804023881157,0.6693507065419444,0.4887614707115584,1.2654540108848,1.0657263424976469,-0.2729675307002273
lasso regression (beta = 0.005),correct,0.523691611030586,0.6825568995248941,0.4731863434181788,1.1653331348905516,1.0273857938295001,-0.17194051961859688
lasso regression (beta = 0.02),correct,0.56315185285396,0.7144338434461727,0.433700297950391,1.0428894290395965,0.9783997053464347,-0.04831801117247575
lasso regression (beta = 0.01),correct,0.5389959138920164,0.6951942739368394,0.4578342727633441,1.1051374705988743,1.0034210058781452,-0.11115283273276946
lasso regression (beta = 0.05),correct,0.6105776662126285,0.7511178457207561,0.3863675958498891,0.9814123974819321,0.9547750275542676,0.013544056341922461
lasso regression (beta = 0.1),correct,0.6574329397554299,0.7856531446185555,0.3390521611094072,0.9448724652002715,0.9430745973001669,0.04966632890789155
lasso regression (beta = 0.2),correct,0.714323843155493,0.8258707505906997,0.28080941975152396,0.9233055303710218,0.9391253187560019,0.07139454597098865
lasso regression (beta = 0.5),correct,0.811248825784464,0.8893677839846332,0.18378571831504922,0.9183267898394312,0.9465152517721407,0.07883258859451192
lasso regression (beta = 2.0),correct,0.9974093919993584,0.9946285773065243,0.0025918300328866273,1.0388591200093908,1.014921671242767,-0.038877450493291776
lasso regression (beta = 1.0),correct,0.9095001061825038,0.948003842406087,0.08818151926052162,0.9680179232841981,0.9782602733942528,0.030849115476247968
lasso regression (beta = 5.0),correct,0.9974093919993584,0.9946285773065243,0.0025918300328866273,1.0388591200093908,1.014921671242767,-0.038877450493291776
lasso regression (beta = 10.0),correct,0.9974093919993584,0.9946285773065243,0.0025918300328866273,1.0388591200093908,1.014921671242767,-0.038877450493291776
random forest regression,correct,0.005878026643279537,0.047327125039371296,0.9940732047143916,0.8890786399045987,0.9089030713091864,0.10371204209954948
random forest regression,shuffled,0.007333249330726113,0.05532014024649342,0.9927140096842594,1.2060807954477746,1.0707601945700622,-0.19151285226583503
