regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.002522033527591136,0.12429672706930832,0.982319736233972,0.09735471863219636,0.8069470305669978,0.3147254323615956
lasso regression (beta = 0.001),correct,0.002768828252250667,0.12967845690715113,0.9805863962725547,0.09564077172918042,0.7990118297170747,0.32760980901381337
lasso regression (beta = 0.005),correct,0.0036896199328613983,0.14932968256795492,0.9741289426626528,0.09651015140034228,0.8009980783735122,0.3220612639322967
lasso regression (beta = 0.002),correct,0.0030516745921797916,0.13597196097166503,0.9786025396119261,0.09553369191604288,0.7979202055146496,0.32867166455489544
lasso regression (beta = 0.01),correct,0.0044495967974314005,0.16392347665702675,0.9687993145356565,0.0985523213686413,0.808478294350524,0.3080550027555781
lasso regression (beta = 0.02),correct,0.005604957326654972,0.18413130638290828,0.9606982768979726,0.09996343235478948,0.8135234988214338,0.29841311822411354
lasso regression (beta = 0.05),correct,0.008180105920749173,0.22346223556354247,0.9426506026901587,0.10004383495020722,0.8124164958491952,0.2973524694362064
lasso regression (beta = 0.1),correct,0.011998241352821046,0.27298642888201624,0.9158133467515437,0.10190961951063712,0.8195782858232044,0.2837228176544626
lasso regression (beta = 0.5),correct,0.05168556539072964,0.5900578274040749,0.6364731535283712,0.11411684824436828,0.8785299708069727,0.19816993626562956
lasso regression (beta = 0.2),correct,0.020565714803381263,0.36302439113986534,0.8555154182296307,0.10854944917086577,0.848801782238096,0.2369155101434278
lasso regression (beta = 2.0),correct,0.14250320757219676,0.9963373302603128,0.0024864960046481676,0.14816617213114927,1.0155426927154396,-0.037297440067905425
lasso regression (beta = 1.0),correct,0.10405921267299482,0.8481721646290519,0.26891089972025634,0.128954235605933,0.9443319733022959,0.09362979212579561
lasso regression (beta = 5.0),correct,0.14250320757219676,0.9963373302603128,0.0024864960046481676,0.14816617213114927,1.0155426927154396,-0.037297440067905425
lasso regression (beta = 10.0),correct,0.14250320757219676,0.9963373302603128,0.0024864960046481676,0.14816617213114927,1.0155426927154396,-0.037297440067905425
random forest regression,correct,0.0003721124423120842,0.021390566822427518,0.9973975346028378,0.12389867537463174,0.9162065353788741,0.128154355309015
