pairID,pairType,visualType,ratingType,aggregator,ratings
salt shaker-windmill,between,Mix,conceptual,median,1.0
bicycle-salt shaker,between,Mix,conceptual,median,1.0
bus-salt shaker,between,Mix,conceptual,median,1.0
car-salt shaker,between,Mix,conceptual,median,1.0
salt shaker-scooter,between,Mix,conceptual,median,1.0
salt shaker-tractor,between,Mix,conceptual,median,1.0
ant-salt shaker,between,Mix,conceptual,median,1.0
butterfly-salt shaker,between,Mix,conceptual,median,1.0
dragonfly-salt shaker,between,Mix,conceptual,median,1.0
fly-salt shaker,between,Mix,conceptual,median,1.0
ladybug-salt shaker,between,Mix,conceptual,median,1.0
apple-salt shaker,between,Mix,conceptual,median,2.0
banana-salt shaker,between,Mix,conceptual,median,1.5
cherry-salt shaker,between,Mix,conceptual,median,1.0
lemon-salt shaker,between,Mix,conceptual,median,1.5
raspberry-salt shaker,between,Mix,conceptual,median,1.0
asparagus-salt shaker,between,Mix,conceptual,median,1.0
bell pepper-salt shaker,between,Mix,conceptual,median,1.0
broccoli-salt shaker,between,Mix,conceptual,median,1.0
carrot-salt shaker,between,Mix,conceptual,median,1.0
onion-salt shaker,between,Mix,conceptual,median,1.5
dandelion-salt shaker,between,Mix,conceptual,median,1.0
palm tree-salt shaker,between,Mix,conceptual,median,1.0
rose-salt shaker,between,Mix,conceptual,median,1.0
salt shaker-sunflower,between,Mix,conceptual,median,1.0
salt shaker-tulip,between,Mix,conceptual,median,1.0
cow-salt shaker,between,Mix,conceptual,median,1.0
donkey-salt shaker,between,Mix,conceptual,median,1.0
goat-salt shaker,between,Mix,conceptual,median,1.0
horse-salt shaker,between,Mix,conceptual,median,1.0
salt shaker-stag,between,Mix,conceptual,median,1.0
eagle-salt shaker,between,Mix,conceptual,median,1.0
owl-salt shaker,between,Mix,conceptual,median,1.0
parrot-salt shaker,between,Mix,conceptual,median,1.0
pigeon-salt shaker,between,Mix,conceptual,median,1.0
salt shaker-stork,between,Mix,conceptual,median,1.0
axe-salt shaker,between,Mix,conceptual,median,1.5
hammer-salt shaker,between,Mix,conceptual,median,1.0
pliers-salt shaker,between,Mix,conceptual,median,1.0
salt shaker-saw,between,Mix,conceptual,median,1.0
salt shaker-shovel,between,Mix,conceptual,median,1.0
dishwasher-salt shaker,between,Mix,conceptual,median,1.0
microwave-salt shaker,between,Mix,conceptual,median,3.0
salt shaker-television,between,Mix,conceptual,median,1.5
salt shaker-toaster,between,Mix,conceptual,median,3.5
salt shaker-washing machine,between,Mix,conceptual,median,1.0
blouse-salt shaker,between,Mix,conceptual,median,1.0
coat-salt shaker,between,Mix,conceptual,median,1.0
jacket-salt shaker,between,Mix,conceptual,median,1.0
salt shaker-shirt,between,Mix,conceptual,median,1.0
salt shaker-uniform,between,Mix,conceptual,median,1.0
church-teapot,between,Mix,conceptual,median,2.0
igloo-teapot,between,Mix,conceptual,median,1.0
lighthouse-teapot,between,Mix,conceptual,median,1.0
pyramid-teapot,between,Mix,conceptual,median,1.0
teapot-windmill,between,Mix,conceptual,median,1.0
bicycle-teapot,between,Mix,conceptual,median,1.0
bus-teapot,between,Mix,conceptual,median,1.0
car-teapot,between,Mix,conceptual,median,1.0
scooter-teapot,between,Mix,conceptual,median,1.0
teapot-tractor,between,Mix,conceptual,median,1.5
ant-teapot,between,Mix,conceptual,median,1.0
butterfly-teapot,between,Mix,conceptual,median,1.0
dragonfly-teapot,between,Mix,conceptual,median,1.0
fly-teapot,between,Mix,conceptual,median,1.0
ladybug-teapot,between,Mix,conceptual,median,1.0
