pairID,pairType,visualType,ratingType,aggregator,ratings
bowl-glass,within ,Mix,visual,mean,2.8666666666666667
bowl-plate,within ,Mix,visual,mean,4.2
bowl-salt shaker,within ,Mix,visual,mean,2.0
bowl-teapot,within ,Mix,visual,mean,2.3333333333333335
bowl-church,between,Mix,visual,mean,1.4666666666666666
bowl-igloo,between,Mix,visual,mean,3.8666666666666667
bowl-lighthouse,between,Mix,visual,mean,1.6
bowl-pyramid,between,Mix,visual,mean,1.5333333333333334
bowl-windmill,between,Mix,visual,mean,1.4666666666666666
bicycle-bowl,between,Mix,visual,mean,1.1333333333333333
bowl-bus,between,Mix,visual,mean,1.6666666666666667
bowl-car,between,Mix,visual,mean,1.8666666666666667
bowl-scooter,between,Mix,visual,mean,1.0666666666666667
bowl-tractor,between,Mix,visual,mean,1.4666666666666666
ant-bowl,between,Mix,visual,mean,1.2666666666666666
bowl-butterfly,between,Mix,visual,mean,1.4
bowl-dragonfly,between,Mix,visual,mean,1.2666666666666666
bowl-fly,between,Mix,visual,mean,1.6666666666666667
bowl-ladybug,between,Mix,visual,mean,2.466666666666667
apple-bowl,between,Mix,visual,mean,3.466666666666667
banana-bowl,between,Mix,visual,mean,1.4
bowl-cherry,between,Mix,visual,mean,1.6
bowl-lemon,between,Mix,visual,mean,3.1333333333333333
bowl-raspberry,between,Mix,visual,mean,2.0
asparagus-bowl,between,Mix,visual,mean,1.4666666666666666
bell pepper-bowl,between,Mix,visual,mean,1.6
bowl-broccoli,between,Mix,visual,mean,1.9333333333333333
bowl-carrot,between,Mix,visual,mean,1.3333333333333333
bowl-onion,between,Mix,visual,mean,3.066666666666667
bowl-dandelion,between,Mix,visual,mean,1.1333333333333333
bowl-palm tree,between,Mix,visual,mean,1.3333333333333333
bowl-rose,between,Mix,visual,mean,1.3333333333333333
bowl-sunflower,between,Mix,visual,mean,1.2666666666666666
bowl-tulip,between,Mix,visual,mean,1.2666666666666666
bowl-cow,between,Mix,visual,mean,1.7333333333333334
